Location|Position|Local Time|Conditions|Temperature|Pressure|Humidity
Lahore|31.55,74.36,215.75|2017-06-01T00:00:00|Rain|17.762337595027578|1004.8534810365254|60
Lahore|31.55,74.36,215.75|2017-07-01T00:00:00|Rain|17.762337595027578|1004.8534810365254|60
Lahore|31.55,74.36,215.75|2017-07-31T00:00:00|Rain|17.762337595027578|1004.8534810365254|60
Lahore|31.55,74.36,215.75|2017-08-30T00:00:00|Rain|17.762337595027578|1004.8534810365254|60
Lahore|31.55,74.36,215.75|2017-09-29T00:00:00|Rain|17.762337595027578|1004.8534810365254|60
Lahore|31.55,74.36,215.75|2017-10-29T00:00:00|Rain|17.762337595027578|1004.8534810365254|60
Melbourne|-37.81,144.96,26.87|2017-06-01T00:00:00|Sunny|32.82944110949911|1005.2983603598493|72
Melbourne|-37.81,144.96,26.87|2017-07-01T00:00:00|Sunny|32.82944110949911|1005.2983603598493|72
Melbourne|-37.81,144.96,26.87|2017-07-31T00:00:00|Sunny|32.82944110949911|1005.2983603598493|72
Melbourne|-37.81,144.96,26.87|2017-08-30T00:00:00|Sunny|32.82944110949911|1005.2983603598493|72
Melbourne|-37.81,144.96,26.87|2017-09-29T00:00:00|Sunny|32.82944110949911|1005.2983603598493|72
Melbourne|-37.81,144.96,26.87|2017-10-29T00:00:00|Sunny|32.82944110949911|1005.2983603598493|72
Beirut|33.89,35.5,38.38|2017-06-01T00:00:00|Sunny|14.660125658557977|1011.8287569826899|70
Beirut|33.89,35.5,38.38|2017-07-01T00:00:00|Sunny|14.660125658557977|1011.8287569826899|70
Beirut|33.89,35.5,38.38|2017-07-31T00:00:00|Sunny|14.660125658557977|1011.8287569826899|70
Beirut|33.89,35.5,38.38|2017-08-30T00:00:00|Sunny|14.660125658557977|1011.8287569826899|70
Beirut|33.89,35.5,38.38|2017-09-29T00:00:00|Sunny|14.660125658557977|1011.8287569826899|70
Beirut|33.89,35.5,38.38|2017-10-29T00:00:00|Sunny|14.660125658557977|1011.8287569826899|70
Budapest|47.5,19.04,108.35|2017-06-01T00:00:00|Sunny|12.161500496819666|1010.6840097574218|66
Budapest|47.5,19.04,108.35|2017-07-01T00:00:00|Sunny|12.161500496819666|1010.6840097574218|66
Budapest|47.5,19.04,108.35|2017-07-31T00:00:00|Sunny|12.161500496819666|1010.6840097574218|66
Budapest|47.5,19.04,108.35|2017-08-30T00:00:00|Sunny|12.161500496819666|1010.6840097574218|66
Budapest|47.5,19.04,108.35|2017-09-29T00:00:00|Sunny|12.161500496819666|1010.6840097574218|66
Budapest|47.5,19.04,108.35|2017-10-29T00:00:00|Sunny|12.161500496819666|1010.6840097574218|66
BOGOTA|4.71,-74.07,2554.61|2017-06-01T00:00:00|Rain|57.16433767741971|927.1940964077435|-75
BOGOTA|4.71,-74.07,2554.61|2017-07-01T00:00:00|Rain|57.16433767741971|927.1940964077435|-75
BOGOTA|4.71,-74.07,2554.61|2017-07-31T00:00:00|Rain|57.16433767741971|927.1940964077435|-75
BOGOTA|4.71,-74.07,2554.61|2017-08-30T00:00:00|Rain|57.16433767741971|927.1940964077435|-75
BOGOTA|4.71,-74.07,2554.61|2017-09-29T00:00:00|Rain|57.16433767741971|927.1940964077435|-75
BOGOTA|4.71,-74.07,2554.61|2017-10-29T00:00:00|Rain|57.16433767741971|927.1940964077435|-75
Casablanca|33.57,-7.59,46.16|2017-06-01T00:00:00|Sunny|14.818813401345613|1012.4620362797679|70
Casablanca|33.57,-7.59,46.16|2017-07-01T00:00:00|Sunny|14.818813401345613|1012.4620362797679|70
Casablanca|33.57,-7.59,46.16|2017-07-31T00:00:00|Sunny|14.818813401345613|1012.4620362797679|70
Casablanca|33.57,-7.59,46.16|2017-08-30T00:00:00|Sunny|14.818813401345613|1012.4620362797679|70
Casablanca|33.57,-7.59,46.16|2017-09-29T00:00:00|Sunny|14.818813401345613|1012.4620362797679|70
Casablanca|33.57,-7.59,46.16|2017-10-29T00:00:00|Sunny|14.818813401345613|1012.4620362797679|70
PYONGYANG|39.04,125.76,5.06|2017-06-01T00:00:00|Sunny|12.949630578281676|1011.3647679786128|71
PYONGYANG|39.04,125.76,5.06|2017-07-01T00:00:00|Sunny|12.949630578281676|1011.3647679786128|71
PYONGYANG|39.04,125.76,5.06|2017-07-31T00:00:00|Sunny|12.949630578281676|1011.3647679786128|71
PYONGYANG|39.04,125.76,5.06|2017-08-30T00:00:00|Sunny|12.949630578281676|1011.3647679786128|71
PYONGYANG|39.04,125.76,5.06|2017-09-29T00:00:00|Sunny|12.949630578281676|1011.3647679786128|71
PYONGYANG|39.04,125.76,5.06|2017-10-29T00:00:00|Sunny|12.949630578281676|1011.3647679786128|71
ROMA|41.9,12.5,52.72|2017-06-01T00:00:00|Sunny|12.804859169705205|1012.3460192720979|69
ROMA|41.9,12.5,52.72|2017-07-01T00:00:00|Sunny|12.804859169705205|1012.3460192720979|69
ROMA|41.9,12.5,52.72|2017-07-31T00:00:00|Sunny|12.804859169705205|1012.3460192720979|69
ROMA|41.9,12.5,52.72|2017-08-30T00:00:00|Sunny|12.804859169705205|1012.3460192720979|69
ROMA|41.9,12.5,52.72|2017-09-29T00:00:00|Sunny|12.804859169705205|1012.3460192720979|69
ROMA|41.9,12.5,52.72|2017-10-29T00:00:00|Sunny|12.804859169705205|1012.3460192720979|69
Bali|-8.41,115.19,464.27|2017-06-01T00:00:00|Rain|31.43572769526759|993.0214324054995|46
