Conditions,Elevation,Humidity,Latitude,Location,Longitude,Pressure,Temperature,Time
Partly Cloudy,9.259319305419922,0.87,13.0826802,"Chennai,India",80.2707184,1013.23,72.93,1483241400
Clear,9.259319305419922,0.93,13.0826802,"Chennai,India",80.2707184,1000.0,72.0,1483245000
Clear,9.259319305419922,0.93,13.0826802,"Chennai,India",80.2707184,1000.0,72.0,1483248600
Partly Cloudy,9.259319305419922,0.91,13.0826802,"Chennai,India",80.2707184,1013.49,72.18,1483252200
Foggy,9.259319305419922,0.93,13.0826802,"Chennai,India",80.2707184,1000.0,72.0,1483255800
Foggy,9.259319305419922,0.79,13.0826802,"Chennai,India",80.2707184,1000.0,77.0,1483259400
Partly Cloudy,9.259319305419922,0.8,13.0826802,"Chennai,India",80.2707184,1015.25,76.84,1483263000
Clear,9.259319305419922,0.67,13.0826802,"Chennai,India",80.2707184,1000.0,84.0,1483266600
Clear,9.259319305419922,0.63,13.0826802,"Chennai,India",80.2707184,1000.0,86.0,1483270200
Partly Cloudy,9.259319305419922,0.61,13.0826802,"Chennai,India",80.2707184,1015.05,85.89,1483273800
Clear,9.259319305419922,0.52,13.0826802,"Chennai,India",80.2707184,1000.0,88.0,1483277400
Clear,9.259319305419922,0.63,13.0826802,"Chennai,India",80.2707184,1000.0,84.0,1483281000
Partly Cloudy,9.259319305419922,0.61,13.0826802,"Chennai,India",80.2707184,1013.01,84.75,1483284600
Clear,9.259319305419922,0.63,13.0826802,"Chennai,India",80.2707184,1000.0,82.0,1483288200
Clear,9.259319305419922,0.63,13.0826802,"Chennai,India",80.2707184,1000.0,82.0,1483291800
Partly Cloudy,9.259319305419922,0.65,13.0826802,"Chennai,India",80.2707184,1012.01,76.92,1483813800
Clear,9.259319305419922,0.66,13.0826802,"Chennai,India",80.2707184,1000.0,75.0,1483817400
Clear,9.259319305419922,0.71,13.0826802,"Chennai,India",80.2707184,1000.0,73.0,1483821000
Clear,9.259319305419922,0.74,13.0826802,"Chennai,India",80.2707184,1010.33,73.56,1483824600
Clear,9.259319305419922,0.87,13.0826802,"Chennai,India",80.2707184,1000.0,70.0,1483828200
Foggy,9.259319305419922,0.87,13.0826802,"Chennai,India",80.2707184,1000.0,68.0,1483831800
Clear,9.259319305419922,0.85,13.0826802,"Chennai,India",80.2707184,1010.71,69.79,1483835400
Foggy,9.259319305419922,0.93,13.0826802,"Chennai,India",80.2707184,1000.0,68.0,1483839000
Foggy,9.259319305419922,0.84,13.0826802,"Chennai,India",80.2707184,1000.0,73.0,1483842600
Partly Cloudy,9.259319305419922,0.74,13.0826802,"Chennai,India",80.2707184,1012.91,74.9,1483846200
Clear,9.259319305419922,0.53,13.0826802,"Chennai,India",80.2707184,1000.0,82.0,1483849800
Clear,9.259319305419922,0.49,13.0826802,"Chennai,India",80.2707184,1000.0,82.0,1483853400
Partly Cloudy,9.259319305419922,0.46,13.0826802,"Chennai,India",80.2707184,1012.53,83.35,1483857000
Clear,9.259319305419922,0.49,13.0826802,"Chennai,India",80.2707184,1000.0,84.0,1483860600
Clear,9.259319305419922,0.49,13.0826802,"Chennai,India",80.2707184,1000.0,84.0,1483864200
Clear,9.259319305419922,0.53,13.0826802,"Chennai,India",80.2707184,1009.49,83.24,1483867800
Clear,9.259319305419922,0.54,13.0826802,"Chennai,India",80.2707184,1000.0,81.0,1483871400
Clear,9.259319305419922,0.54,13.0826802,"Chennai,India",80.2707184,1000.0,81.0,1483875000
Partly Cloudy,9.259319305419922,0.57,13.0826802,"Chennai,India",80.2707184,1009.71,79.26,1483878600
Clear,9.259319305419922,0.69,13.0826802,"Chennai,India",80.2707184,1000.0,75.0,1483882200
Clear,9.259319305419922,0.69,13.0826802,"Chennai,India",80.2707184,1000.0,75.0,1483885800
Partly Cloudy,9.259319305419922,0.69,13.0826802,"Chennai,India",80.2707184,1011.94,75.55,1483889400
Clear,9.259319305419922,0.71,13.0826802,"Chennai,India",80.2707184,1000.0,73.0,1483893000
Clear,9.259319305419922,0.76,13.0826802,"Chennai,India",80.2707184,1000.0,72.0,1483896600
